location_name,Month,TotalDevices,CENTER_ID,BldgGroupID,BldgGroupName,Group,Region
Tanger Outlets Daytona,2019-09-01,6603,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-10-01,7519,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-11-01,13378,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2019-12-01,16140,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-01-01,10271,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-02-01,8744,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-03-01,5144,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-04-01,170,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-05-01,5193,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-06-01,11840,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-07-01,11825,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-08-01,12088,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-09-01,7854,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-10-01,8358,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-11-01,11365,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2020-12-01,15518,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-01-01,8959,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-02-01,9510,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-03-01,10312,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-04-01,10671,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-05-01,10991,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-06-01,10724,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-07-01,16046,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-08-01,12056,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-09-01,6822,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-10-01,9464,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-11-01,13092,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Daytona,2021-12-01,14884,DAYBE1,DAYBE1,Daytona Beach Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Deer Park,2019-01-01,23540,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-02-01,22120,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-03-01,27548,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-04-01,33778,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-05-01,33541,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-06-01,35092,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-07-01,39000,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-08-01,45728,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-09-01,36325,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-10-01,31351,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-11-01,42752,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2019-12-01,45630,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
Tanger Outlets Deer Park,2020-01-01,30039,DEERP1,DEERP1,Deer Park - The Arches,Regional Destinations,North
